ORGANIZATION_ID,ORGANIZATION_NAME,ORGANIZATION_CREATED_DATE,PROJECT_ID,PROJECT_NAME,PROJECT_CREATED_DATE,LAST_BUILD_FINISHED_AT,VCS_NAME,VCS_URL,VCS_BRANCH,PIPELINE_ID,PIPELINE_CREATED_AT,PIPELINE_NUMBER,IS_UNREGISTERED_USER,PIPELINE_TRIGGER_SOURCE,PIPELINE_TRIGGER_USER_ID,WORKFLOW_ID,WORKFLOW_NAME,WORKFLOW_FIRST_JOB_QUEUED_AT,WORKFLOW_FIRST_JOB_STARTED_AT,WORKFLOW_STOPPED_AT,IS_WORKFLOW_SUCCESSFUL,JOB_NAME,JOB_RUN_NUMBER,JOB_ID,JOB_RUN_DATE,JOB_RUN_QUEUED_AT,JOB_RUN_STARTED_AT,JOB_RUN_STOPPED_AT,JOB_BUILD_STATUS,RESOURCE_CLASS,OPERATING_SYSTEM,EXECUTOR,PARALLELISM,JOB_RUN_SECONDS,MEDIAN_CPU_UTILIZATION_PCT,MAX_CPU_UTILIZATION_PCT,MEDIAN_RAM_UTILIZATION_PCT,MAX_RAM_UTILIZATION_PCT,COMPUTE_CREDITS,DLC_CREDITS,USER_CREDITS,STORAGE_CREDITS,NETWORK_CREDITS,LEASE_CREDITS,LEASE_OVERAGE_CREDITS,IPRANGES_CREDITS,TOTAL_CREDITS
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,f1278979-6d7b-4ec3-bad6-62c176f478f6,python_script,2025-03-25,2025-03-31 01:49:39.873,github,https://github.com/HennaAbbas/python_script,main,41f1dcd5-288e-4ee4-afee-73190cc1946c,2025-03-25 23:42:13.694,1,false,api,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,aad7ce78-f67a-4ff1-93a1-c1d7045b8c61,my-workflow,\\N,\\N,\\N,false,\\N,\\N,2af0f3ed-9292-4156-8c66-b8cdc6a8bac5,2025-03-25,\\N,2025-03-25 23:42:13.800,\\N,failed,large,linux,docker,\\N,\\N,\\N,\\N,\\N,\\N,9,0,0,0,0,0,0,0,9
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,560b8aa3-fb90-4f15-9f29-0e7305a5ca80,test_,2020-09-22,2025-03-11 17:06:46.296,github,https://github.com/HennaAbbas/test_,master,e9bdf5e9-15e8-4e26-8a49-cfabdcf8b0d5,2025-03-10 19:22:15.254,20995,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,357fac56-e9f8-405c-98e8-161723b02806,build,\\N,2025-03-10 19:22:17.000,2025-03-10 19:22:19.000,false,example_job,47938,ab2ceff0-176f-4e2b-8b16-fb7c36a635d4,2025-03-10,2025-03-10 19:22:15.000,2025-03-10 19:22:17.000,2025-03-10 19:22:19.000,failed,medium,linux,docker,1,2,\\N,\\N,\\N,\\N,1,0,0,0,0,0,0,0,1
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,560b8aa3-fb90-4f15-9f29-0e7305a5ca80,test_,2020-09-22,2025-03-11 17:06:46.296,github,https://github.com/HennaAbbas/test_,master,009674ce-28d7-4e9e-aea3-055cb1c3ab9d,2025-03-10 20:04:04.845,20998,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,e6c57439-8917-4f8b-b748-cbe93a470bac,build,2025-03-10 20:04:05.000,2025-03-10 20:04:12.000,2025-03-10 20:04:32.000,false,example_job,47940,fe9a67bb-648e-4494-9d28-287f14925797,2025-03-10,2025-03-10 20:04:05.000,2025-03-10 20:04:12.000,2025-03-10 20:04:32.000,failed,medium,linux,docker,1,20,\\N,\\N,\\N,\\N,4,0,0,0,0,0,0,0,4
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,afc17f07-8e66-4fad-82b6-c63820afc7b4,circleci-demo-python-django,2021-02-17,2025-03-20 20:41:17.074,github,https://github.com/HennaAbbas/circleci-demo-python-django,master,491bd6b4-82c9-46b1-b21a-258dbabe6e6e,2025-03-19 21:57:41.519,4907,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,700e1845-a23b-4feb-9917-e821071a238a,on_commit,2025-03-19 21:57:42.000,2025-03-19 21:57:44.000,2025-03-19 22:00:54.000,true,build_and_test,5038,41ed7b1c-2dc9-4b77-9c03-5504546df5d7,2025-03-19,2025-03-19 21:57:42.000,2025-03-19 21:57:44.000,2025-03-19 22:00:54.000,success,medium,linux,docker,500,190,8,100,3,30,5371,0,0,5,0,0,0,0,5376
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,f1278979-6d7b-4ec3-bad6-62c176f478f6,python_script,2025-03-25,2025-03-31 01:49:39.873,github,https://github.com/HennaAbbas/python_script,main,d8e5bd43-9b5e-49e4-bd25-cba1d7024d47,2025-03-26 00:04:35.744,6,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,e01597d8-527a-4e28-b315-5101f64d2bb5,my-workflow,2025-03-26 00:04:36.000,2025-03-26 00:04:38.000,2025-03-26 00:06:02.000,true,generate_reports,6,282f0804-8da5-40ce-ae90-1680990fb378,2025-03-26,2025-03-26 00:04:36.000,2025-03-26 00:04:38.000,2025-03-26 00:06:02.000,success,large,linux,docker,1,84,\\N,\\N,\\N,\\N,29,0,0,1,0,0,0,0,30
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,f1278979-6d7b-4ec3-bad6-62c176f478f6,python_script,2025-03-25,2025-03-31 01:49:39.873,github,https://github.com/HennaAbbas/python_script,main,e244cee8-fa21-4c3d-991c-d38cbf0c6d8e,2025-03-25 23:57:20.913,5,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,aa0ad225-5876-4dfb-b381-90cf54dee19c,my-workflow,\\N,\\N,\\N,false,\\N,\\N,7889512f-3b70-4e2d-9bf8-dbde9cf97a18,2025-03-25,\\N,2025-03-25 23:57:21.007,\\N,success,large,linux,docker,\\N,\\N,\\N,\\N,\\N,\\N,32,0,0,1,0,0,0,0,33
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,f1278979-6d7b-4ec3-bad6-62c176f478f6,python_script,2025-03-25,2025-03-31 01:49:39.873,github,https://github.com/HennaAbbas/python_script,main,b521bb3f-00c3-4581-a656-94ba376ead30,2025-03-25 23:52:23.502,4,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,3ac9abc1-0653-4c0a-b569-8a179e88e19d,my-workflow,\\N,\\N,\\N,false,\\N,\\N,102c94c7-b9d4-4768-a653-f2a1e9557c8c,2025-03-25,\\N,2025-03-25 23:52:23.646,\\N,success,large,linux,docker,\\N,\\N,\\N,\\N,\\N,\\N,37,0,0,0,0,0,0,0,37
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,3beb1f72-d5c7-44db-af9f-a59cb76e47bb,usage_report_10_months,2025-03-19,2025-03-22 05:27:02.235,github,https://github.com/HennaAbbas/usage_report_10_months,main,c0ade436-4ec7-40c6-a3cb-6421de3163b6,2025-03-20 20:35:03.724,6,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,0da97beb-e210-4b1a-ab76-1d1b0f05ff8c,my-workflow,2025-03-20 20:35:04.000,2025-03-20 20:35:07.000,2025-03-20 20:45:49.000,true,generate_reports,7,c75e9253-347c-4a0e-b785-007d2fef1cca,2025-03-20,2025-03-20 20:35:04.000,2025-03-20 20:35:07.000,2025-03-20 20:45:49.000,success,large,linux,docker,1,642,\\N,\\N,\\N,\\N,214,0,0,1,0,0,0,0,215
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,3beb1f72-d5c7-44db-af9f-a59cb76e47bb,usage_report_10_months,2025-03-19,2025-03-22 05:27:02.235,github,https://github.com/HennaAbbas/usage_report_10_months,main,9f1d3202-24b5-4c1b-b898-43175b11c23a,2025-03-19 05:05:59.722,2,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,269c3d84-308f-4853-a285-8ae589c0853e,my-workflow,2025-03-19 05:06:00.000,2025-03-19 05:06:02.000,2025-03-19 05:16:20.000,true,generate_reports,2,2933df5c-95de-459c-800f-272415546689,2025-03-19,2025-03-19 05:06:00.000,2025-03-19 05:06:02.000,2025-03-19 05:16:20.000,success,large,linux,docker,1,618,\\N,\\N,\\N,\\N,207,0,0,1,0,0,0,0,208
73d9dfa4-601c-405e-8b36-c61fd77f569d,HennaAbbas,2020-03-17,560b8aa3-fb90-4f15-9f29-0e7305a5ca80,test_,2020-09-22,2025-03-11 17:06:46.296,github,https://github.com/HennaAbbas/test_,master,dc8dae92-6f85-4764-b5a1-b899117aa598,2025-03-10 20:00:32.240,20997,false,webhook,dbfd74a5-e4cb-4d78-8a1c-b16cf5ed7987,47176c63-aa00-4ae6-8865-8e646e91cedb,build,\\N,2025-03-10 20:00:34.000,2025-03-10 20:00:43.000,false,example_job,47939,4dd5b81b-8785-4f3e-8835-f8861532e7ed,2025-03-10,2025-03-10 20:00:32.000,2025-03-10 20:00:34.000,2025-03-10 20:00:43.000,failed,medium,linux,docker,1,9,\\N,\\N,\\N,\\N,2,0,0,0,0,0,0,0,2
